Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume
2016-09-11,621.65,606.32,594.63,628.99,5336.951571700005,3240280.3343061022,605.72247252,1799709.05896857,3.0,591634.0,220755908330.0,398487,8.78,0.163,0.75,180227,16124
2016-09-12,604.08,608.04,602.0,609.15,3512.282370509998,2126936.0203704718,608.04,1829872.71,3.0,690745.0,224586991480.0,459518,8.834,0.163,0.651,208486,18821
2016-09-13,606.4,607.46,603.28,609.61,3471.52717479,2106487.109960625,607.57362,1863551.35,3.0,780788.0,225832872179.0,473180,8.727,0.173,0.749,239721,20868
2016-09-14,607.45,608.5,605.98,610.69,2895.460451899998,1761472.096025494,608.5,1751289.22289128,3.0,764124.0,225832872179.0,432043,9.231,0.164,0.671,231644,20554
2016-09-15,608.5,606.71,602.3,608.99,3085.666947680004,1870525.5908817565,606.71,1728836.79,3.0,752896.0,225832872179.0,427832,9.351,0.156,0.699,233334,21820
2016-09-16,606.65,605.69,603.5,608.99,2612.8800763500008,1585218.431254977,605.69,1571669.81,3.0,774544.0,225832872179.0,428124,10.36,0.185,0.629,210989,20588
2016-09-17,607.04,604.1,601.1,607.59,1117.48707654,674972.5844820236,604.1,1829872.71366204,3.0,754301.0,225832872179.0,455846,8.834,0.163,0.737,215366,17201
2016-09-18,602.93,608.0,601.97,609.06,1307.0551129199994,792167.993470742,608.0,1627800.88,2.0,678224.0,225832872179.0,360162,9.931,0.168,0.684,191458,13717
2016-09-19,608.0,608.72,603.0,609.5,2476.59039745,1504205.844143461,608.72,1493086.32,2.0,834958.0,225832872179.0,425006,10.827,0.181,0.67,223407,13913
2016-09-20,608.73,600.94,600.94,608.88,2680.447605630002,1625919.567601836,602.73836483,1717610.58398952,2.0,782574.0,225832872179.0,468695,9.536,0.17,0.725,244164,26427
2016-09-21,600.85,595.46,592.1,601.01,3671.191912639998,2184063.913319504,595.46,1863551.35,2.0,711269.0,225832872179.0,459657,8.675,0.162,0.749,239050,18606
2016-09-22,595.46,595.41,592.5,596.42,2421.454826159999,1440643.025378102,595.39147598,1582896.02,2.0,762499.0,225832872179.0,431972,10.213,0.162,0.592,231086,18260
